                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3083,                 2.5455,                 1.4707,                0.57382,                0.60067,                0.58186,                0.36352,                 1.1606,                 1.2676,                 1.2712,              0.0032922,              0.0032922,              0.0032922
                      2,                 1.0373,                 1.0888,                 1.2134,                0.43657,                0.48574,                0.42475,                 0.2618,                 1.2024,                 1.6816,                 1.3331,              0.0065927,              0.0065927,              0.0065927
                      3,                 1.1374,                 1.1241,                 1.2671,                0.54882,                0.42757,                0.44234,                0.24975,                 1.5213,                 1.9179,                 1.7401,              0.0098603,              0.0098603,              0.0098603
                      4,                 1.2267,                 1.2173,                 1.3222,                0.67566,                0.38624,                0.41267,                0.25362,                 1.3935,                 2.4747,                 1.5484,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2144,                  1.154,                 1.3017,                0.47408,                0.45113,                0.44164,                0.24833,                 1.4536,                 1.8221,                 1.5373,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1975,                 1.1011,                 1.2999,                0.68377,                0.53727,                0.59855,                0.35972,                 1.2636,                 1.4337,                  1.351,               0.009802,               0.009802,               0.009802
                      7,                 1.1656,                  1.054,                 1.2807,                0.62992,                0.21903,                0.24525,                0.12609,                 1.9865,                 3.4511,                 2.2742,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1476,                   1.03,                  1.263,                0.66037,                0.58598,                0.63486,                0.38528,                 1.2233,                 1.2597,                 1.3441,               0.009703,               0.009703,               0.009703
                      9,                 1.1253,                 1.0015,                 1.2674,                0.66809,                0.66568,                0.68411,                0.42746,                 1.1509,                 1.0598,                 1.2873,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1122,                0.96903,                 1.2486,                0.70084,                0.68843,                0.73463,                0.44585,                 1.1608,                 1.0318,                 1.2716,               0.009604,               0.009604,               0.009604
                     11,                 1.0984,                0.95875,                 1.2426,                0.69635,                0.70134,                0.72612,                0.45895,                 1.0888,                 1.0262,                 1.2094,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.0906,                0.93717,                 1.2418,                0.76687,                 0.7062,                0.77526,                0.49613,                 1.0594,                0.86688,                 1.2051,               0.009505,               0.009505,               0.009505
                     13,                 1.0695,                0.91462,                 1.2208,                 0.6603,                0.58619,                0.63355,                 0.3996,                 1.1729,                  1.141,                 1.2983,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.065,                0.90798,                 1.2196,                0.72003,                0.65737,                0.72977,                0.44926,                 1.1397,                0.94886,                 1.2767,               0.009406,               0.009406,               0.009406
                     15,                  1.055,                0.87548,                 1.2131,                0.78549,                0.75262,                0.81715,                0.51613,                 1.0785,                0.82953,                 1.2083,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.0377,                0.86103,                 1.2056,                0.76714,                0.73978,                0.81197,                0.51126,                  1.054,                0.84412,                  1.207,               0.009307,               0.009307,               0.009307
                     17,                 1.0308,                0.85418,                 1.2056,                0.72983,                0.64701,                0.71045,                  0.448,                 1.0954,                0.98349,                 1.2343,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.0324,                0.84499,                 1.1968,                0.72666,                0.69248,                0.72179,                0.47609,                 1.0723,                0.88274,                 1.2042,               0.009208,               0.009208,               0.009208
                     19,                 1.0252,                0.83552,                 1.1927,                 0.7784,                0.72546,                0.79193,                0.50804,                 1.0569,                 0.8267,                 1.2098,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0147,                0.81943,                 1.1885,                0.78891,                 0.7042,                0.79434,                0.51374,                 1.0518,                 0.8235,                 1.1916,               0.009109,               0.009109,               0.009109
                     21,                 1.0085,                0.81592,                 1.1806,                0.76264,                0.74307,                 0.7945,                0.51342,                 1.0484,                0.82054,                 1.2091,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0053,                0.81477,                 1.1848,                 0.7397,                0.70069,                0.75693,                0.50339,                 1.0657,                0.80118,                 1.2261,                0.00901,                0.00901,                0.00901
                     23,                 1.0102,                0.80009,                 1.1926,                0.81233,                    0.7,                0.79456,                 0.5137,                 1.0431,                0.81174,                 1.1998,              0.0089605,              0.0089605,              0.0089605
                     24,                0.99339,                 0.7923,                 1.1769,                0.73461,                0.74881,                0.77699,                0.50582,                 1.0437,                0.80335,                 1.1842,               0.008911,               0.008911,               0.008911
